event_type,session_id,customer_id,page,product_id,action,city,device,ingested_at,event_timestamp,event_date,event_hour,processed_at
click,SESS-25795,380,product,6,remove,DELHI,mobile,2026-03-15T11:17:30.007Z,2026-03-15T11:16:59.557Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-81733,64,home,3,purchase,MUMBAI,mobile,2026-03-15T11:17:30.007Z,2026-03-15T11:16:59.557Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-43883,8,search,4,remove,PUNE,tablet,2026-03-15T11:17:30.007Z,2026-03-15T11:16:59.557Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-95936,4,home,6,add_to_cart,DELHI,tablet,2026-03-15T11:17:30.007Z,2026-03-15T11:17:03.722Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-78342,245,search,7,purchase,HYDERABAD,tablet,2026-03-15T11:17:30.007Z,2026-03-15T11:17:03.722Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-11065,54,search,2,purchase,DELHI,mobile,2026-03-15T11:17:30.007Z,2026-03-15T11:17:07.881Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-94619,35,checkout,5,view,CHENNAI,desktop,2026-03-15T11:17:30.007Z,2026-03-15T11:17:07.881Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-67474,236,home,4,add_to_cart,MUMBAI,tablet,2026-03-15T11:17:30.007Z,2026-03-15T11:17:12.048Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-93021,396,search,2,search,HYDERABAD,mobile,2026-03-15T11:17:30.007Z,2026-03-15T11:17:12.048Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-74895,30,home,8,search,BENGALURU,tablet,2026-03-15T11:17:30.007Z,2026-03-15T11:17:12.048Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-19597,439,cart,5,search,CHENNAI,tablet,2026-03-15T11:17:30.007Z,2026-03-15T11:17:16.181Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-53947,103,search,1,view,PUNE,desktop,2026-03-15T11:17:30.007Z,2026-03-15T11:17:16.182Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-76034,258,search,1,remove,CHENNAI,tablet,2026-03-15T11:17:30.007Z,2026-03-15T11:17:16.182Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-12683,475,cart,4,view,CHENNAI,tablet,2026-03-15T11:17:30.007Z,2026-03-15T11:17:20.338Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-79881,350,cart,1,view,HYDERABAD,desktop,2026-03-15T11:17:30.007Z,2026-03-15T11:17:20.338Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-20419,373,product,7,remove,DELHI,mobile,2026-03-15T11:17:30.007Z,2026-03-15T11:17:20.338Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-95285,75,checkout,3,purchase,PUNE,tablet,2026-03-15T11:17:30.007Z,2026-03-15T11:17:24.563Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-12029,97,checkout,4,add_to_cart,HYDERABAD,mobile,2026-03-15T11:17:30.007Z,2026-03-15T11:17:24.563Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-51850,474,cart,3,purchase,BENGALURU,desktop,2026-03-15T11:17:30.007Z,2026-03-15T11:17:24.563Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-24349,395,home,7,add_to_cart,PUNE,mobile,2026-03-15T11:17:30.007Z,2026-03-15T11:17:28.773Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-77293,274,home,5,purchase,BENGALURU,tablet,2026-03-15T11:17:30.007Z,2026-03-15T11:17:28.773Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-16116,73,home,1,search,MUMBAI,tablet,2026-03-15T11:17:30.007Z,2026-03-15T11:17:28.774Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-31764,145,home,4,add_to_cart,BENGALURU,mobile,2026-03-15T11:25:00.007Z,2026-03-15T11:24:29.636Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-63303,486,search,2,view,BENGALURU,mobile,2026-03-15T11:25:00.007Z,2026-03-15T11:24:29.636Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-56579,408,cart,3,view,DELHI,mobile,2026-03-15T11:25:00.007Z,2026-03-15T11:24:29.637Z,2026-03-15,11,2026-03-15T11:32:21.901Z
click,SESS-18630,170,search,5,search,PUNE,tablet,2026-03-15T11:25:00.007Z,2026-03-15T11:24:33.776Z,2026-03-15,11,2026-03-15T11:32:21.901Z
